1,Intensive Foundations of Computer Science,5001,1,3,
2,Discrete Structures,5002,2,3,
3,Intensive Foundations of Computer Science,5001,5,3,
4,Database Management Systems,5200,6,4,
5,Discrete Structures,5002,7,1,
6,Programing Design Paradigm,5010,8,2,
7,Intensive Foundations of Computer Science,5001,10,1,
8,Intensive Foundations of Computer Science,5001,9,1,
9,Intensive Foundations of Computer Science,5001,12,1,
10,Intensive Foundations of Computer Science,5001,11,1,
11,Discrete Structures,5002,10,2,
12,Discrete Structures,5002,9,2,
13,Discrete Structures,5002,12,2,
14,Discrete Structures,5002,11,2,
15,Discrete Structures,5002,10,3,
16,Discrete Structures,5002,9,3,
17,Discrete Structures,5002,12,3,
18,Discrete Structures,5002,11,3,
19,Discrete Structures,5002,13,3,
20,Web Development,5610,14,3,
21,Mobile Application Development,5520,18,4,
22,Discrete Structures,5002,19,3,
23,Discrete Structures,5002,21,4,
24,Object-Oriented Design,5004,22,3,
25,Web Development,5610,25,4,
26,Data Structures Algorithms and Their Applications within Computer Systems,5008,26,3,
27,Data Structures Algorithms and Their Applications within Computer Systems,5008,27,4,
28,Data Structures Algorithms and Their Applications within Computer Systems,5008,29,2,
29,Intensive Foundations of Computer Science,5001,31,3,
30,Pattern Recognition and Computer Vision,5330,32,3,
31,Pattern Recognition and Computer Vision,5330,33,3,
32,Programing Design Paradigm,5010,36,1,
33,Programing Design Paradigm,5010,37,1,
34,Programing Design Paradigm,5010,36,4,
35,Programing Design Paradigm,5010,37,4,
36,Foundations of Artificial Intelligence,5100,36,1,
37,Foundations of Artificial Intelligence,5100,37,1,
38,Algorithms,5800,35,4,
39,Database Management Systems,5200,38,2,
40,Database Management Systems,5200,39,2,
41,Database Management Systems,5200,38,3,
42,Database Management Systems,5200,39,3,
43,Object-Oriented Design,5004,47,6,
44,Foundations of Software Engineering,5500,49,4,
45,Computer Systems,5600,53,4,
46,Machine Learning,6140,54,1,
47,Discrete Structures,5002,55,3,
48,Intensive Foundations of Computer Science,5001,56,6,
49,Fundamentals of Computer Networking,5700,58,4,
50,Algorithms,5800,65,6,
51,Algorithms,5800,66,1,
52,Natural Language Processing,6120,70,1,
53,Information Retrieval,6200,72,1,
54,Privacy Security and Usability,6760,75,1,
55,Discrete Structures,5002,76,3,
56,Database Management Systems,5200,77,6,
57,Foundamentals of Cloud Computing,6620,82,1,
58,Building Scalable Distributed Systems,6650,82,1,
